irn,district,county,foundation_funding_pre_reduction,net_open_enrollment,net_excess_cost,scholarship_deduction,community_stem_deduction,student_wellness_success,enrollment_growth_supplement,funding_base
000442,Manchester Local SD,Adams,3712452.63,64227.78,0,0,-163263.52,354715.56,0,3968132.45
043489,Akron City SD,Summit,200839446.33,-6935565.46,0,-12659702.95,-26656207.55,7371568.8,25067.04,161984606.21
043497,Alliance City SD,Stark,25824558.04,-1180488.08,0,-109201.21,-478507.8,979894.8,0,25036255.75
043505,Ashland City SD,Ashland,12956281.64,-38878.38,0,-10034,-976433.27,701847.53,0,12632783.52
043513,Ashtabula Area City SD,Ashtabula,26980091.52,-2716274.74,0,-975766.9,-707824.65,1139230.8,0,23719456.03
043521,Athens City SD,Athens,7636725.32,709881.98,0,-354086.29,-611361.6,877568.4,0,8258727.81
043539,Barberton City SD,Summit,29396095.1,-1312839.23,0,-216486.73,-1096437.75,1252738.8,0,28023070.19
043547,Bay Village City SD,Cuyahoga,4484420.02,-10474.8,0,-263094.65,-116931.49,107580.33,2338.63,4203838.04
043554,Beachwood City SD,Cuyahoga,1029871.1,-18060,0,-667772.4,-65151.15,60204.76,75842.96,414935.27
043562,Bedford City SD,Cuyahoga,8281942.12,-273952.08,0,-850750.64,-1902116.22,862968.53,0,6118091.71
043570,Bellaire Local SD,Belmont,9380327.27,-555968.06,0,-262982.66,-207757.01,493774.59,0,8847394.13
043588,Bellefontaine City SD,Logan,14445365.43,-851787.53,0,-8148.9,-489797.03,815623.18,0,13911255.15
043596,Bellevue City SD,Huron,9656554.65,-467417.9,0,-159043,-474490.84,236216.55,0,8791819.46
043604,Belpre City SD,Washington,4075414.62,-509223.43,0,0,-214365.16,263340.84,0,3615166.87
043612,Berea City SD,Cuyahoga,10480549.98,-206774.82,0,-611069.6,-2612105.47,812969.79,0,7863569.88
043620,Bexley City SD,Franklin,4384352.96,-35763.28,0,-284678.17,-240510.25,109546.19,196869.58,4129817.03
043638,Bowling Green City SD,Wood,8329850.38,-783264.3,0,-768284.93,-632607.78,701247.91,49713.99,6896655.27
043646,Brecksville-Broadview Height,Cuyahoga,4721283.86,-23970.12,0,-789136.46,-430977.36,191566.79,0,3668766.71
043653,Brooklyn City SD,Cuyahoga,1139036.9,-165621.4,0,-22756.25,-610450.8,402494.4,0,742702.85
043661,Brunswick City SD,Medina,26857368.65,-308505.71,0,-421771.23,-999998.12,404481.33,0,25531574.92
043679,Bryan City SD,Williams,7609576.41,61469.45,0,-469004.17,-209510.69,754993.45,0,7747524.45
043687,Bucyrus City SD,Crawford,11933448.21,-1989816.99,0,-20952.5,-793101.21,384739.2,0,9514316.71
043695,Cambridge City SD,Guernsey,13196491,-1039650.61,0,-26747.5,-498104.44,661608,0,12293596.45
043703,Campbell City SD,Mahoning,15048991.4,-1074835.85,0,-365632.52,-931098.73,360925.2,0,13038349.5
043711,Canton City SD,Stark,97682548.88,-2332180.37,0,-4079020.8,-10378455.13,2771506.8,0,83664399.38
043729,Celina City SD,Mercer,12306826.3,-1648987.56,0,-143060.5,-468200.5,881793.74,0,10928371.48
043737,Centerville City SD,Montgomery,13167113.72,-289572.62,0,-586477.64,-1003871.89,484305.43,335014.31,12106511.31
043745,Chillicothe City SD,Ross,15607198.12,-2407003.89,0,-483280.01,-582407.49,892416.52,0,13026923.25
043752,Cincinnati City SD,Hamilton,205975703.34,1585695.74,0,-34565764.58,-49054700.21,12528111.6,1555280.4,138024326.29
043760,Circleville City SD,Pickaway,11495152.51,259633.71,0,-205695.44,-515118.65,729184.55,3447.87,11766604.55
043778,Claymont City SD,Tuscarawas,15965860.86,-1013014.86,0,-101249.9,-310343.67,942382.98,0,15483635.41
043786,Cleveland Municipal SD,Cuyahoga,445674459.33,4851453.44,0,-29074957.12,-130522674.37,12577827.6,0,303506108.88
043794,Cleveland Hts-Univ Hts City,Cuyahoga,21307454.95,-803005.91,0,-12201656.21,-3067729.77,1380518.21,0,6615581.27
043802,Columbus City SD,Franklin,346780602.46,-1027047.96,0,-39531497.48,-174359907.96,16818199.2,0,148680348.26
043810,Conneaut Area City SD,Ashtabula,11082116.52,-50870.47,0,-85804.91,-497822.19,808606.77,0,11256225.72
043828,Coshocton City SD,Coshocton,12385986.83,-919023.24,0,-207039,-645284.36,529531.2,52496.43,11196667.86
043836,Cuyahoga Falls City SD,Summit,15741556.42,674219.26,0,-711067.71,-1360031.81,613996.89,0,14958673.05
043844,Dayton City SD,Montgomery,191220328.55,-6428289.26,0,-16513988.91,-55279268.82,4205408.4,0,117204189.96
043851,Deer Park Community City SD,Hamilton,3381254.21,-124239.78,0,-162087.47,-142882.59,111933.55,0,3063977.92
043869,Defiance City SD,Defiance,16744075.36,-549538.56,0,-245899.25,-503811.59,836755.02,0,16281580.98
043877,Delaware City SD,Delaware,17296541.57,254744.11,0,-710772.08,-1424890.32,741347.62,167154.18,16324125.08
043885,Delphos City SD,Allen,3842895.01,-379940.82,0,-191824.54,-126130.96,269004.42,0,3414003.11
043893,Dover City SD,Tuscarawas,8612113.45,-203881.61,0,-22890,-364952.51,426487.37,0,8446876.7
043901,East Cleveland City SD,Cuyahoga,31522727.53,1186555.03,0,-995483.74,-5034121.6,636105.6,0,27315782.82
043919,East Liverpool City SD,Columbiana,21338273.54,-1339965.43,0,-105100,-912583.29,729237.6,66460.87,19776323.29
043927,East Palestine City SD,Columbiana,8141425.17,-1079408.37,0,-11269.25,-179951.57,495922.48,0,7366718.46
043935,Eaton Community Schools City,Preble,10477748.57,-553452.95,0,-10025,-413220.95,608214.59,0,10109264.26
043943,Elyria City SD,Lorain,38478069.16,-1718570.12,0,-1347549.72,-5774617.63,2040717.6,0,31678049.29
043950,Euclid City SD,Cuyahoga,44251239.64,-1330445.44,0,-7427072.9,-12437740.22,1632888,0,24688869.08
043968,Fairborn City SD,Greene,21445923.84,-26799.52,0,-496447.9,-3575300.74,1316453.85,13606.92,18677436.45
043976,Fairview Park City SD,Cuyahoga,2704228.39,-60511.52,0,-161344.07,-408525.38,298436.26,0,2372283.68
043984,Findlay City SD,Hancock,22800429.87,-625268.94,0,-695541.13,-1287940.06,1502629.4,0,21694309.14
043992,Fostoria City SD,Seneca,15199253.79,-2234203.33,0,-394535.8,-1104336.51,591595.2,7191.43,12064964.78
044008,Franklin City SD,Warren,12459348.07,205130.85,0,-335179.29,-1106757.35,768747.53,0,11991289.81
044016,Fremont City SD,Sandusky,17717126.07,-2234271.55,0,-364690.11,-1413328.86,1599782.58,0,15304618.13
044024,Galion City SD,Crawford,14129206.53,-683899.47,0,-201181.75,-1260228.63,556542,0,12540438.68
044032,Gallipolis City SD,Gallia,11580079.4,-66135.12,0,0,-292066.37,823501.15,0,12045379.06
044040,Garfield Heights City SD,Cuyahoga,24029451.13,-883011.84,0,-1644419.82,-3642556.43,1237924.8,0,19097387.84
044057,Geneva Area City SD,Ashtabula,11414070.61,491586.92,0,-307636.37,-766030.56,992907.53,0,11824898.13
044065,Girard City SD,Trumbull,12267805.72,1247921.17,0,-177095.4,-344857.2,596599.87,32640.43,13623014.59
044073,Grandview Heights City SD,Franklin,1484058.27,-14905.52,0,-43867.65,-74102.44,42713.63,2666.29,1396562.58
044081,Winton Woods City SD,Hamilton,19679934.29,555499.97,0,-1113039.91,-2122884.55,1103652.75,251155.03,18354317.58
044099,Greenville City SD,Darke,13092775.53,-2362621.65,0,-155906.2,-518597.41,1345639.43,0,11401289.7
044107,Hamilton City SD,Butler,76280243.44,-1140009.19,0,-1776634.85,-2936208.1,3328322.4,0,73755713.7
044115,Heath City SD,Licking,6344926.37,1351144.55,0,-227162.51,-355329.55,313204.67,14837.39,7441620.92
044123,Hillsboro City SD,Highland,14893283.45,-509569.04,0,-82375,-751950.73,1129589.84,0,14678978.52
044131,Huron City SD,Erie,2294988.08,281748.23,0,-27202.92,-221306.41,344421.91,0,2672648.89
044149,Ironton City SD,Lawrence,9986634.83,76816.65,0,0,-206414.41,374154.9,0,10231191.97
044156,Jackson City SD,Jackson,14153829.36,814268.44,0,-224056.55,-358238.11,1170273.18,0,15556076.32
044164,Kent City SD,Portage,13089626.78,1240467.44,0,-250870.5,-858000.88,924998.76,0,14146221.6
044172,Kenton City SD,Hardin,11271949.84,202701.56,0,0,-597622.5,899263.95,0,11776292.85
044180,Kettering City SD,Montgomery,16586450.61,-324394.31,0,-748997.7,-1509519.82,1248307.17,36083.82,15287929.77
