county,district_irn,district_name,building_irn,building_name,grade_levels,open_closed,designated,option_a_academic_distress,option_b_pi_and_title1,academic_distress_school,bottom_20_pi_two_of_three,bottom_20_pi_2122,bottom_20_pi_2223,bottom_20_pi_2324,title1_at_least_20_three_years,title1_share_2223,title1_share_2324,title1_share_2425,title1_average
Adams,000442,Manchester Local,000450,Manchester High School,7-12;PS,Open,no,no,no,no,no,no,no,no,yes,0.270108043217287,0.279901356350185,0.345431789737171,0.298480396434881
Adams,000442,Manchester Local,000451,Manchester Elementary School,K-6,Open,no,no,no,no,no,no,no,no,yes,0.270108043217287,0.279901356350185,0.345431789737171,0.298480396434881
Adams,061903,Adams County Ohio Valley Local,029520,Peebles Elementary School,K-6;P,Open,no,no,no,no,no,no,no,no,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Adams,061903,Adams County Ohio Valley Local,029538,Peebles High School,7-12,Open,no,no,no,no,no,no,no,no,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Adams,061903,Adams County Ohio Valley Local,033936,North Adams Elementary School,K-6;P,Open,no,no,no,no,no,no,no,no,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Adams,061903,Adams County Ohio Valley Local,033944,North Adams High School,7-12,Open,no,no,no,no,no,no,no,no,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Adams,061903,Adams County Ohio Valley Local,038885,West Union Elementary School,K-6;P,Open,no,no,no,no,no,no,no,no,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Adams,061903,Adams County Ohio Valley Local,038893,West Union High School,7-12,Open,yes,no,yes,no,yes,yes,yes,yes,yes,0.270716889428919,0.266195524146054,0.274467575975114,0.270459996516695
Allen,043885,Delphos City,012120,Franklin Elementary School,K-4,Open,no,no,no,no,no,no,no,no,no,0.080914144533663,0.098651960784314,0.12962962962963,0.103065244982535
Allen,043885,Delphos City,018184,Jefferson High School,5-12,Open,no,no,no,no,no,no,no,no,no,0.080914144533663,0.098651960784314,0.12962962962963,0.103065244982535
Allen,043885,Delphos City,064048,Jefferson Middle School,5-8,Open,no,no,no,no,no,no,no,no,no,0.080914144533663,0.098651960784314,0.12962962962963,0.103065244982535
Allen,044222,Lima City,000470,Independence Elementary School,K-4;P,Open,yes,no,yes,no,yes,yes,yes,yes,yes,0.275014293882218,0.339957140074031,0.307346619773349,0.307439351243199
Allen,044222,Lima City,000472,Liberty Arts Magnet K-8,K-8,Open,yes,no,yes,no,yes,no,yes,yes,yes,0.275014293882218,0.339957140074031,0.307346619773349,0.307439351243199
Allen,044222,Lima City,005660,Lima North Middle School,5-6,Open,yes,no,yes,no,yes,yes,yes,yes,yes,0.275014293882218,0.339957140074031,0.307346619773349,0.307439351243199
Allen,044222,Lima City,008298,Lima Senior High School,9-12,Open,yes,no,yes,no,yes,yes,yes,yes,yes,0.275014293882218,0.339957140074031,0.307346619773349,0.307439351243199
